Fecha,P34,P63,M5023,M5025,Temperatura_M5023 (°C),Humedad_Relativa_M5023 (%),Humedad_Suelo_M5023 (m³/m³),Temperatura_M5025 (°C),Humedad_Relativa_M5025 (%),Humedad_Suelo_M5025 (m³/m³),Temperatura_P34 (°C),Humedad_Relativa_P34 (%),Humedad_Suelo_P34 (m³/m³),Temperatura_P63 (°C),Humedad_Relativa_P63 (%),Humedad_Suelo_P63 (m³/m³)
2024-03-01 19:00:00,,,0.0,0.0,10.557000160217285,85.38582611083984,,9.57349967956543,67.60733795166016,,12.330999374389648,87.30667877197266,,7.558499813079834,67.1764144897461,
2024-03-01 20:00:00,,,0.0,0.0,11.107000350952148,81.21038055419922,,8.423500061035156,73.5737533569336,,13.481000900268555,79.10948181152344,,6.4085001945495605,73.20509338378906,
2024-03-01 21:00:00,,,0.0,0.0,9.906999588012695,84.15919494628906,,7.373499870300293,88.96540069580078,,12.281000137329102,82.46887969970703,,5.358500003814697,88.79552459716797,
2024-03-01 22:00:00,,,0.0,0.0,9.307000160217285,81.80850982666016,,7.07349967956543,90.80963897705078,,12.031000137329102,85.25572967529297,,5.058499813079834,90.66656494140625,
2024-03-01 23:00:00,,,0.0,0.1,8.607000350952148,88.76264190673828,,6.173500061035156,95.9366455078125,,11.031000137329102,92.62055206298828,,4.1585001945495605,95.8714370727539,
2024-03-02 00:00:00,,,0.0,0.0,7.557000160217285,93.06025695800781,,5.973499774932861,92.97470092773438,,9.981000900268555,97.0286865234375,,3.9584999084472656,92.86358642578125,
2024-03-02 01:00:00,,,0.0,0.0,7.85699987411499,95.66226196289062,,5.623499870300293,97.94070434570312,,10.580999374389648,99.66751098632812,,3.6085000038146973,97.90726470947266,
2024-03-02 02:00:00,,,0.0,0.0,7.6570000648498535,96.64299774169922,,5.373499870300293,99.65345764160156,,10.580999374389648,98.34730529785156,,3.3585000038146973,99.64777374267578,
2024-03-02 03:00:00,,,0.0,0.0,7.256999969482422,97.63202667236328,,5.273499965667725,98.96272277832031,,10.281000137329102,99.66674041748047,,3.258500099182129,98.94574737548828,
2024-03-02 04:00:00,,,0.0,0.0,6.6570000648498535,99.31505584716797,,5.223499774932861,97.59352111816406,,10.031000137329102,99.3331298828125,,3.2084999084472656,97.55443572998047,
2024-03-02 05:00:00,,,0.0,0.0,6.60699987411499,99.65687561035156,,4.423500061035156,99.30266571044922,,9.231000900268555,98.3297119140625,,2.4085001945495605,99.29120635986328,
2024-03-02 06:00:00,,,0.0,0.0,6.057000160217285,99.31173706054688,,3.323500156402588,99.29644775390625,,8.430999755859375,97.98599243164062,,1.308500051498413,99.28482818603516,
2024-03-02 07:00:00,,,0.0,0.0,5.307000160217285,97.93550109863281,,4.32349967956543,96.55339813232422,,8.281000137329102,94.37995147705078,,2.308499813079834,96.49751281738281,
2024-03-02 08:00:00,,,0.0,0.0,5.057000160217285,96.23653411865234,,3.7235000133514404,95.8571548461914,,7.830999851226807,92.43800354003906,,1.7084999084472656,95.79004669189453,
